name,uid,guid,id,height,weight,age,position,jersey,salary,birthDate,headshot,lastName,experience,college,birthPlace,height_cm,team,hand
Mitchell Robinson,s:40~l:46~a:4351852,0f21507bed4fc040eefc8223b67fab5b,4351852,"7' 0""",240 lbs,23,C,23,"$1,802,057",04/01/98,https://a.espncdn.com/i/headshots/nba/players/full/4351852.png,Mitchell Robinson,3,,"Pensacola, FL",213.36,New York Knicks,
Derrick Rose,s:40~l:46~a:3456,c5594432c72be14dceab0caadd6fe342,3456,"6' 2""",200 lbs,33,PG,4,"$13,445,120",10/04/88,https://a.espncdn.com/i/headshots/nba/players/full/3456.png,Derrick Rose,12,Memphis,"Chicago, IL",187.96,New York Knicks,
Luka Samanic,s:40~l:46~a:4423309,bc9995ea4b1a9782ef30b0a4d7299aad,4423309,"6' 10""",227 lbs,21,PF,91,"$2,959,080",01/09/00,https://a.espncdn.com/i/headshots/nba/players/full/4423309.png,Luka Samanic,2,,"Zagreb, Croatia",208.28,New York Knicks,
Wayne Selden,s:40~l:46~a:4895499,3f3caf40-7d8a-33ec-ac31-8c2a7ff5703b,4895499,"6' 4""",232 lbs,27,F,11,"$1,669,178",10/30/94,https://a.espncdn.com/i/headshots/nba/players/full/4895499.png,Wayne Selden,3,,,193.04,New York Knicks,
Jericho Sims,s:40~l:46~a:4277922,a1f01b18944626a25f12cff33c2784f1,4277922,"6' 9""",250 lbs,23,PF,45,0,10/20/98,https://a.espncdn.com/i/headshots/nba/players/full/4277922.png,Jericho Sims,0,Texas,"Minneapolis, MN",205.74,New York Knicks,
Obi Toppin,s:40~l:46~a:4278355,5906d1099922295b8e60cd644f04178a,4278355,"6' 9""",220 lbs,23,PF,1,"$5,105,160",03/04/98,https://a.espncdn.com/i/headshots/nba/players/full/4278355.png,Obi Toppin,1,Dayton,"Brooklyn, NY",205.74,New York Knicks,L
Kemba Walker,s:40~l:46~a:6479,665c55b2776846ac62a04efb4c9bcc80,6479,"6' 0""",184 lbs,31,PG,8,"$8,729,020",05/08/90,https://a.espncdn.com/i/headshots/nba/players/full/6479.png,Kemba Walker,10,Connecticut,"Bronx, NY",182.88,New York Knicks,
Charles Bassey,s:40~l:46~a:4397886,b8c70b37f923a84caeac9399422ee1ef,4397886,"6' 9""",230 lbs,21,C,23,"$925,258",10/28/00,https://a.espncdn.com/i/headshots/nba/players/full/4397886.png,Charles Bassey,0,Western Kentucky,"Lagos, Nigeria",205.74,Philadelphia 76Ers,
Seth Curry,s:40~l:46~a:2326307,3f5993882fb23f8c8f8ba0ec58fd65d2,2326307,"6' 2""",185 lbs,31,SG,31,"$8,207,518",08/23/90,https://a.espncdn.com/i/headshots/nba/players/full/2326307.png,Seth Curry,7,Duke,"Charlotte, NC",187.96,Philadelphia 76Ers,
Andre Drummond,s:40~l:46~a:6585,355269b721fc8104b40ed7c81ec96c9a,6585,"6' 10""",279 lbs,28,C,1,"$1,669,178",08/10/93,https://a.espncdn.com/i/headshots/nba/players/full/6585.png,Andre Drummond,9,Connecticut,"Mount Vernon, NY",208.28,Philadelphia 76Ers,L
Joel Embiid,s:40~l:46~a:3059318,8941011900115ba0efed7b0b6c756c23,3059318,"7' 0""",280 lbs,27,C,21,"$31,579,390",03/16/94,https://a.espncdn.com/i/headshots/nba/players/full/3059318.png,Joel Embiid,5,Kansas,"Yaounde, Cameroon",213.36,Philadelphia 76Ers,
Danny Green,s:40~l:46~a:3988,e5cf89d43b87d7b8dd64f38e63824016,3988,"6' 6""",215 lbs,34,SF,14,"$10,000,000",06/22/87,https://a.espncdn.com/i/headshots/nba/players/full/3988.png,Danny Green,12,North Carolina,"North Babylon, NY",198.12,Philadelphia 76Ers,
Tobias Harris,s:40~l:46~a:6440,7975a3ae314d5282e1d0b9d4d47e151a,6440,"6' 7""",226 lbs,29,PF,12,"$35,995,950",07/15/92,https://a.espncdn.com/i/headshots/nba/players/full/6440.png,Tobias Harris,10,Tennessee,"Dix Hills, NY",200.66,Philadelphia 76Ers,
Aaron Henry,s:40~l:46~a:4397209,d4255641107a5c0fa08f7b18a6733b3d,4397209,"6' 5""",210 lbs,22,SF,50,0,08/30/99,https://a.espncdn.com/i/headshots/nba/players/full/4397209.png,Aaron Henry,0,Michigan State,"Indianapolis, IN",195.57999999999998,Philadelphia 76Ers,
Isaiah Joe,s:40~l:46~a:4395702,df47e3975af242fa965a0574219eec8d,4395702,"6' 4""",165 lbs,22,SG,7,"$1,517,981",07/02/99,https://a.espncdn.com/i/headshots/nba/players/full/4395702.png,Isaiah Joe,1,Arkansas,"Fort Smith, AR",193.04,Philadelphia 76Ers,
Furkan Korkmaz,s:40~l:46~a:3929325,ead1819b68191f7af43a3122e5e15fad,3929325,"6' 7""",202 lbs,24,SG,30,"$4,629,630",07/24/97,https://a.espncdn.com/i/headshots/nba/players/full/3929325.png,Furkan Korkmaz,4,,"Bakirkoy, Turkey",200.66,Philadelphia 76Ers,
Tyrese Maxey,s:40~l:46~a:4431678,4a24e9cd-a7a5-371b-9148-bef246046609,4431678,"6' 2""",200 lbs,21,PG,0,"$2,602,920",11/04/00,https://a.espncdn.com/i/headshots/nba/players/full/4431678.png,Tyrese Maxey,1,Kentucky,"Garland, TX",187.96,Philadelphia 76Ers,
Shake Milton,s:40~l:46~a:3915195,6575a3513a38c256f17d4f2aa62ad2ce,3915195,"6' 5""",205 lbs,25,SG,18,"$1,846,738",09/26/96,https://a.espncdn.com/i/headshots/nba/players/full/3915195.png,Shake Milton,3,SMU,"Owasso, OK",195.57999999999998,Philadelphia 76Ers,
Georges Niang,s:40~l:46~a:2990969,fc22b9ec32bd07ebe8036c89ddfb8f11,2990969,"6' 7""",230 lbs,28,SF,20,"$3,300,000",06/17/93,https://a.espncdn.com/i/headshots/nba/players/full/2990969.png,Georges Niang,5,Iowa State,"Methuen, MA",200.66,Philadelphia 76Ers,
Paul Reed,s:40~l:46~a:4278562,8b70ae67c286c72b7b508741a5dbbb3d,4278562,"6' 9""",210 lbs,22,SF,44,"$1,517,981",06/14/99,https://a.espncdn.com/i/headshots/nba/players/full/4278562.png,Paul Reed,1,DePaul,"Orlando, FL",205.74,Philadelphia 76Ers,
Grant Riller,s:40~l:46~a:3912295,d632d5c72d6fa51477b247c2d420bdde,3912295,"6' 1""",190 lbs,24,G,5,0,02/09/97,https://a.espncdn.com/i/headshots/nba/players/full/3912295.png,Grant Riller,1,Charleston,"Orlando, FL",185.42,Philadelphia 76Ers,
Ben Simmons,s:40~l:46~a:3907387,c55250794a9b1491713f1f48699e89b0,3907387,"6' 11""",240 lbs,25,PG,25,"$33,003,936",07/20/96,https://a.espncdn.com/i/headshots/nba/players/full/3907387.png,Ben Simmons,4,LSU,"Melbourne, VIC",210.82,Philadelphia 76Ers,
Jaden Springer,s:40~l:46~a:4432164,1dbb9794-371c-3ebb-aef3-9e2fbac90254,4432164,"6' 4""",202 lbs,19,G,11,"$2,023,800",09/25/02,https://a.espncdn.com/i/headshots/nba/players/full/4432164.png,Jaden Springer,0,Tennessee,"Charlotte, NC",193.04,Philadelphia 76Ers,
Matisse Thybulle,s:40~l:46~a:3907498,0ce4527c004af0c15aa57b1935e84067,3907498,"6' 5""",201 lbs,24,SG,22,"$2,840,160",03/04/97,https://a.espncdn.com/i/headshots/nba/players/full/3907498.png,Matisse Thybulle,2,Washington,"Issaquah, WA",195.57999999999998,Philadelphia 76Ers,
Precious Achiuwa,s:40~l:46~a:4431679,79540e31-b541-3156-9ed2-fea920e18b17,4431679,"6' 8""",225 lbs,22,PF,5,"$2,711,280",09/19/99,https://a.espncdn.com/i/headshots/nba/players/full/4431679.png,Precious Achiuwa,0,Memphis,"Queens, NY",203.2,Toronto Raptors,
OG Anunoby,s:40~l:46~a:3934719,31ec117d6e14d4f094149d2467197179,3934719,"6' 7""",232 lbs,24,SF,3,"$16,071,429",07/17/97,https://a.espncdn.com/i/headshots/nba/players/full/3934719.png,OG Anunoby,3,Indiana,"Jefferson City, MO",200.66,Toronto Raptors,B
Dalano Banton,s:40~l:46~a:4397885,58dc339499e5400152916d74b070762f,4397885,"6' 7""",204 lbs,22,PG,45,"$925,258",11/07/99,https://a.espncdn.com/i/headshots/nba/players/full/4397885.png,Dalano Banton,0,Nebraska,"Toronto, ON",200.66,Toronto Raptors,
Scottie Barnes,s:40~l:46~a:4433134,dd0bb1da-07b1-3d6b-b4b7-11a9e7b70d46,4433134,"6' 7""",225 lbs,20,SF,4,"$7,280,520",08/01/01,https://a.espncdn.com/i/headshots/nba/players/full/4433134.png,Scottie Barnes,0,Florida State,"West Palm Beach, FL",200.66,Toronto Raptors,
Khem Birch,s:40~l:46~a:2578240,43829a29a656034b3ade785ff6d2e87e,2578240,"6' 9""",233 lbs,29,C,24,"$6,350,000",09/28/92,https://a.espncdn.com/i/headshots/nba/players/full/2578240.png,Khem Birch,3,UNLV,"Montreal, PQ",205.74,Toronto Raptors,
Isaac Bonga,s:40~l:46~a:4348697,6d77fefbb742a1ad19448f66a56120bb,4348697,"6' 8""",180 lbs,22,G,17,"$1,669,178",11/08/99,https://a.espncdn.com/i/headshots/nba/players/full/4348697.png,Isaac Bonga,2,,"Frankfurt, Germany",203.2,Toronto Raptors,
Chris Boucher,s:40~l:46~a:3948153,843d6489a236c54a38db617c74ded459,3948153,"6' 9""",200 lbs,28,PF,25,"$7,020,000",01/11/93,https://a.espncdn.com/i/headshots/nba/players/full/3948153.png,Chris Boucher,3,Oregon,"Montreal, PQ",205.74,Toronto Raptors,
Justin Champagnie,s:40~l:46~a:4432907,97185220-85bb-3ca6-9a32-41e85f3aeb0c,4432907,"6' 6""",206 lbs,20,SF,11,0,06/29/01,https://a.espncdn.com/i/headshots/nba/players/full/4432907.png,Justin Champagnie,0,Pittsburgh,"Brooklyn, NY",198.12,Toronto Raptors,
Goran Dragic,s:40~l:46~a:3423,a9d23f8adbff7d67bd46651615f1f228,3423,"6' 3""",190 lbs,35,PG,1,"$19,440,000",05/06/86,https://a.espncdn.com/i/headshots/nba/players/full/3423.png,Goran Dragic,13,,"Ljubljana, Slovenia",190.5,Toronto Raptors,L
Malachi Flynn,s:40~l:46~a:4066668,6feae4fc4a16e3800f60b635cd76ebdf,4066668,"6' 1""",175 lbs,23,PG,22,"$2,048,040",05/10/98,https://a.espncdn.com/i/headshots/nba/players/full/4066668.png,Malachi Flynn,0,San Diego State,"Tacoma, WA",185.42,Toronto Raptors,
David Johnson,s:40~l:46~a:4592204,9d6ddfef6718bceedcca7178de8dafc9,4592204,"6' 4""",203 lbs,20,PG,13,0,02/26/01,https://a.espncdn.com/i/headshots/nba/players/full/4592204.png,David Johnson,0,Louisville,"Louisville, KY",193.04,Toronto Raptors,
Svi Mykhailiuk,s:40~l:46~a:3133602,42c1431482abe530625f862388fee382,3133602,"6' 7""",205 lbs,24,SG,14,"$1,729,217",06/10/97,https://a.espncdn.com/i/headshots/nba/players/full/3133602.png,Svi Mykhailiuk,1,Kansas,"Cherkasy, Ukraine",200.66,Toronto Raptors,
Pascal Siakam,s:40~l:46~a:3149673,7c82adbb96d724542921535f8b8f6248,3149673,"6' 8""",230 lbs,27,PF,43,"$33,003,936",04/02/94,https://a.espncdn.com/i/headshots/nba/players/full/3149673.png,Pascal Siakam,4,New Mexico State,"Douala, Cameroon",203.2,Toronto Raptors,
Fred VanVleet,s:40~l:46~a:2991230,6c6e5179fc67908ebc500a5580d64159,2991230,"6' 1""",197 lbs,27,SG,23,"$19,675,926",02/25/94,https://a.espncdn.com/i/headshots/nba/players/full/2991230.png,Fred VanVleet,4,Wichita State,"Rockford, IL",185.42,Toronto Raptors,
Yuta Watanabe,s:40~l:46~a:3133838,7919bc9c2a39dd2c41fcf7d4ef8567fe,3133838,"6' 9""",215 lbs,27,SF,18,"$1,762,796",10/13/94,https://a.espncdn.com/i/headshots/nba/players/full/3133838.png,Yuta Watanabe,2,George Washington,"Kagawa, Japan",205.74,Toronto Raptors,
Lonzo Ball,s:40~l:46~a:4066421,636059566a4cd1875e834f0e5c740a28,4066421,"6' 6""",190 lbs,24,PG,2,"$18,604,651",10/27/97,https://a.espncdn.com/i/headshots/nba/players/full/4066421.png,Lonzo Ball,4,UCLA,"Chino Hills, CA",198.12,Chicago Bulls,R
Tony Bradley,s:40~l:46~a:4065673,78cd79a1db814a119177c0b340ccf5a3,4065673,"6' 10""",248 lbs,23,C,13,"$1,669,178",01/08/98,https://a.espncdn.com/i/headshots/nba/players/full/4065673.png,Tony Bradley,4,North Carolina,"Bartow, FL",208.28,Chicago Bulls,
Alex Caruso,s:40~l:46~a:2991350,41bcf5f107fdeffe1f0c5b58221253f0,2991350,"6' 5""",186 lbs,27,SG,6,"$8,650,651",02/28/94,https://a.espncdn.com/i/headshots/nba/players/full/2991350.png,Alex Caruso,4,Texas A&M,"College Station, TX",195.57999999999998,Chicago Bulls,
Tyler Cook,s:40~l:46~a:4066367,094d7897-5511-3bbe-8aeb-ac955f1133a6,4066367,"6' 8""",255 lbs,24,F,25,"$1,701,593",09/23/97,https://a.espncdn.com/i/headshots/nba/players/full/4066367.png,Tyler Cook,2,Iowa,"Saint Louis, MO",203.2,Chicago Bulls,
DeMar DeRozan,s:40~l:46~a:3978,d942ef5ec416b06e63ac5f3db14757be,3978,"6' 6""",220 lbs,32,SF,11,"$26,000,000",08/07/89,https://a.espncdn.com/i/headshots/nba/players/full/3978.png,DeMar DeRozan,12,USC,"Compton, CA",198.12,Chicago Bulls,
Ayo Dosunmu,s:40~l:46~a:4397002,556e0df28aad48d09881913c026ec64d,4397002,"6' 4""",200 lbs,21,SG,12,"$925,258",01/17/00,https://a.espncdn.com/i/headshots/nba/players/full/4397002.png,Ayo Dosunmu,0,Illinois,"Chicago, IL",193.04,Chicago Bulls,
Devon Dotson,s:40~l:46~a:4397016,2385823d74610adf7d2b3877541010a0,4397016,"6' 1""",185 lbs,22,PG,3,0,08/02/99,https://a.espncdn.com/i/headshots/nba/players/full/4397016.png,Devon Dotson,1,Kansas,"Charlotte, NC",185.42,Chicago Bulls,B
Javonte Green,s:40~l:46~a:2596112,a4940ed033e0a114e8862f5a094aa3f8,2596112,"6' 5""",205 lbs,28,SF,24,"$1,669,178",07/23/93,https://a.espncdn.com/i/headshots/nba/players/full/2596112.png,Javonte Green,2,Radford,"Petersburg, VA",195.57999999999998,Chicago Bulls,
Alize Johnson,s:40~l:46~a:4067045,e0895f863fdb91f94d0fc6c6c0f5241f,4067045,"6' 8""",212 lbs,25,F,22,"$1,729,217",04/22/96,https://a.espncdn.com/i/headshots/nba/players/full/4067045.png,Alize Johnson,3,Missouri State,"Williamsport, PA",203.2,Chicago Bulls,
Zach LaVine,s:40~l:46~a:3064440,dba79cae3f61b87b37d9223f39b4f516,3064440,"6' 5""",200 lbs,26,SG,8,"$19,500,000",03/10/95,https://a.espncdn.com/i/headshots/nba/players/full/3064440.png,Zach LaVine,7,UCLA,"Seattle, WA",195.57999999999998,Chicago Bulls,
Marko Simonovic,s:40~l:46~a:4683622,f50e2603-2096-34d8-b7f2-0d8874f98cc2,4683622,"6' 11""",220 lbs,22,C,19,"$925,258",10/15/99,https://a.espncdn.com/i/headshots/nba/players/full/4683622.png,Marko Simonovic,0,,"Montenegro, Yugoslavia",210.82,Chicago Bulls,
Matt Thomas,s:40~l:46~a:3059311,4047056662eb99aeef06b0a7401917e8,3059311,"6' 3""",190 lbs,27,SG,21,"$1,669,178",08/04/94,https://a.espncdn.com/i/headshots/nba/players/full/3059311.png,Matt Thomas,2,Iowa State,"Onalaska, WI",190.5,Chicago Bulls,
Nikola Vucevic,s:40~l:46~a:6478,2c9b229fcbd58e0bcf3a236f74f23867,6478,"6' 10""",260 lbs,31,C,9,"$24,000,000",10/24/90,https://a.espncdn.com/i/headshots/nba/players/full/6478.png,Nikola Vucevic,10,USC,"Simi Valley, CA",208.28,Chicago Bulls,
